text,label
Congratulations! You have won a cash prize of $5000. Claim now by clicking the link.,spam
URGENT: Your account has been selected for a reward. Verify your details today to receive it.,spam
You are a lucky winner! Send your information to claim your free gift card immediately.,spam
Limited time offer: get 80% discount on premium products. Buy now before the offer expires.,spam
Your loan has been pre-approved. Complete the application now to receive instant funds.,spam
Exclusive investment opportunity with guaranteed high returns. Contact our agent today.,spam
FINAL NOTICE: Your reward is waiting. Confirm your account information to avoid losing the prize.,spam
Claim your FREE smartphone today. Pay only a small processing fee to receive it.,spam
You have been chosen for a special bonus. Click here and enter your details to activate it.,spam
Win a brand-new car in our promotion. Register now and secure your entry.,spam
Your subscription payment failed. Verify your card immediately using the secure link below.,spam
Act now to unlock a huge discount on your insurance plan. Offer ends tonight.,spam
"Dear customer, you have an unclaimed refund. Submit your bank details to receive the money.",spam
Earn money from home with our proven program. No experience required. Join today.,spam
Security alert: unusual activity detected. Confirm your password now to keep your account active.,spam
Special promotion just for you: get a free voucher when you complete this short survey.,spam
Your mobile number has won a promotional jackpot. Call immediately to claim your prize.,spam
Increase your credit limit instantly. Click the link and verify your identity now.,spam
You have been selected for a secret bonus. This opportunity is available for the next 24 hours.,spam
Get cheap premium software licenses today. Pay online and download instantly.,spam
"Hello, Congratulations! You have won a cash prize of $5000. Claim now by clicking the link. Please act quickly.",spam
"Hello, URGENT: Your account has been selected for a reward. Verify your details today to receive it. Please act quickly.",spam
"Hello, You are a lucky winner! Send your information to claim your free gift card immediately. Please act quickly.",spam
"Hello, Limited time offer: get 80% discount on premium products. Buy now before the offer expires. Please act quickly.",spam
"Hello, Your loan has been pre-approved. Complete the application now to receive instant funds. Please act quickly.",spam
"Hello, Exclusive investment opportunity with guaranteed high returns. Contact our agent today. Please act quickly.",spam
"Hello, FINAL NOTICE: Your reward is waiting. Confirm your account information to avoid losing the prize. Please act quickly.",spam
"Hello, Claim your FREE smartphone today. Pay only a small processing fee to receive it. Please act quickly.",spam
"Hello, You have been chosen for a special bonus. Click here and enter your details to activate it. Please act quickly.",spam
"Hello, Win a brand-new car in our promotion. Register now and secure your entry. Please act quickly.",spam
"Hello, Your subscription payment failed. Verify your card immediately using the secure link below. Please act quickly.",spam
"Hello, Act now to unlock a huge discount on your insurance plan. Offer ends tonight. Please act quickly.",spam
"Hello, Dear customer, you have an unclaimed refund. Submit your bank details to receive the money. Please act quickly.",spam
"Hello, Earn money from home with our proven program. No experience required. Join today. Please act quickly.",spam
"Hello, Security alert: unusual activity detected. Confirm your password now to keep your account active. Please act quickly.",spam
"Hello, Special promotion just for you: get a free voucher when you complete this short survey. Please act quickly.",spam
"Hello, Your mobile number has won a promotional jackpot. Call immediately to claim your prize. Please act quickly.",spam
"Hello, Increase your credit limit instantly. Click the link and verify your identity now. Please act quickly.",spam
"Hello, You have been selected for a secret bonus. This opportunity is available for the next 24 hours. Please act quickly.",spam
"Hello, Get cheap premium software licenses today. Pay online and download instantly. Please act quickly.",spam
"Dear customer, Congratulations! You have won a cash prize of $5000. Claim now by clicking the link. Do not miss this opportunity.",spam
"Dear customer, URGENT: Your account has been selected for a reward. Verify your details today to receive it. Do not miss this opportunity.",spam
"Dear customer, You are a lucky winner! Send your information to claim your free gift card immediately. Do not miss this opportunity.",spam
"Dear customer, Limited time offer: get 80% discount on premium products. Buy now before the offer expires. Do not miss this opportunity.",spam
"Dear customer, Your loan has been pre-approved. Complete the application now to receive instant funds. Do not miss this opportunity.",spam
"Dear customer, Exclusive investment opportunity with guaranteed high returns. Contact our agent today. Do not miss this opportunity.",spam
"Dear customer, FINAL NOTICE: Your reward is waiting. Confirm your account information to avoid losing the prize. Do not miss this opportunity.",spam
"Dear customer, Claim your FREE smartphone today. Pay only a small processing fee to receive it. Do not miss this opportunity.",spam
"Dear customer, You have been chosen for a special bonus. Click here and enter your details to activate it. Do not miss this opportunity.",spam
"Dear customer, Win a brand-new car in our promotion. Register now and secure your entry. Do not miss this opportunity.",spam
"Dear customer, Your subscription payment failed. Verify your card immediately using the secure link below. Do not miss this opportunity.",spam
"Dear customer, Act now to unlock a huge discount on your insurance plan. Offer ends tonight. Do not miss this opportunity.",spam
"Dear customer, Dear customer, you have an unclaimed refund. Submit your bank details to receive the money. Do not miss this opportunity.",spam
"Dear customer, Earn money from home with our proven program. No experience required. Join today. Do not miss this opportunity.",spam
"Dear customer, Security alert: unusual activity detected. Confirm your password now to keep your account active. Do not miss this opportunity.",spam
"Dear customer, Special promotion just for you: get a free voucher when you complete this short survey. Do not miss this opportunity.",spam
"Dear customer, Your mobile number has won a promotional jackpot. Call immediately to claim your prize. Do not miss this opportunity.",spam
"Dear customer, Increase your credit limit instantly. Click the link and verify your identity now. Do not miss this opportunity.",spam
"Dear customer, You have been selected for a secret bonus. This opportunity is available for the next 24 hours. Do not miss this opportunity.",spam
"Dear customer, Get cheap premium software licenses today. Pay online and download instantly. Do not miss this opportunity.",spam
Important: Congratulations! You have won a cash prize of $5000. Claim now by clicking the link. This message is time-sensitive.,spam
Important: URGENT: Your account has been selected for a reward. Verify your details today to receive it. This message is time-sensitive.,spam
Important: You are a lucky winner! Send your information to claim your free gift card immediately. This message is time-sensitive.,spam
Important: Limited time offer: get 80% discount on premium products. Buy now before the offer expires. This message is time-sensitive.,spam
Important: Your loan has been pre-approved. Complete the application now to receive instant funds. This message is time-sensitive.,spam
Important: Exclusive investment opportunity with guaranteed high returns. Contact our agent today. This message is time-sensitive.,spam
Important: FINAL NOTICE: Your reward is waiting. Confirm your account information to avoid losing the prize. This message is time-sensitive.,spam
Important: Claim your FREE smartphone today. Pay only a small processing fee to receive it. This message is time-sensitive.,spam
Important: You have been chosen for a special bonus. Click here and enter your details to activate it. This message is time-sensitive.,spam
Important: Win a brand-new car in our promotion. Register now and secure your entry. This message is time-sensitive.,spam
Important: Your subscription payment failed. Verify your card immediately using the secure link below. This message is time-sensitive.,spam
Important: Act now to unlock a huge discount on your insurance plan. Offer ends tonight. This message is time-sensitive.,spam
"Important: Dear customer, you have an unclaimed refund. Submit your bank details to receive the money. This message is time-sensitive.",spam
Important: Earn money from home with our proven program. No experience required. Join today. This message is time-sensitive.,spam
Important: Security alert: unusual activity detected. Confirm your password now to keep your account active. This message is time-sensitive.,spam
Important: Special promotion just for you: get a free voucher when you complete this short survey. This message is time-sensitive.,spam
Important: Your mobile number has won a promotional jackpot. Call immediately to claim your prize. This message is time-sensitive.,spam
Important: Increase your credit limit instantly. Click the link and verify your identity now. This message is time-sensitive.,spam
Important: You have been selected for a secret bonus. This opportunity is available for the next 24 hours. This message is time-sensitive.,spam
Important: Get cheap premium software licenses today. Pay online and download instantly. This message is time-sensitive.,spam
Attention: Congratulations! You have won a cash prize of $5000. Claim now by clicking the link. Visit the official page to continue.,spam
Attention: URGENT: Your account has been selected for a reward. Verify your details today to receive it. Visit the official page to continue.,spam
Attention: You are a lucky winner! Send your information to claim your free gift card immediately. Visit the official page to continue.,spam
Attention: Limited time offer: get 80% discount on premium products. Buy now before the offer expires. Visit the official page to continue.,spam
Attention: Your loan has been pre-approved. Complete the application now to receive instant funds. Visit the official page to continue.,spam
Attention: Exclusive investment opportunity with guaranteed high returns. Contact our agent today. Visit the official page to continue.,spam
Attention: FINAL NOTICE: Your reward is waiting. Confirm your account information to avoid losing the prize. Visit the official page to continue.,spam
Attention: Claim your FREE smartphone today. Pay only a small processing fee to receive it. Visit the official page to continue.,spam
Attention: You have been chosen for a special bonus. Click here and enter your details to activate it. Visit the official page to continue.,spam
Attention: Win a brand-new car in our promotion. Register now and secure your entry. Visit the official page to continue.,spam
Attention: Your subscription payment failed. Verify your card immediately using the secure link below. Visit the official page to continue.,spam
Attention: Act now to unlock a huge discount on your insurance plan. Offer ends tonight. Visit the official page to continue.,spam
"Attention: Dear customer, you have an unclaimed refund. Submit your bank details to receive the money. Visit the official page to continue.",spam
Attention: Earn money from home with our proven program. No experience required. Join today. Visit the official page to continue.,spam
Attention: Security alert: unusual activity detected. Confirm your password now to keep your account active. Visit the official page to continue.,spam
Attention: Special promotion just for you: get a free voucher when you complete this short survey. Visit the official page to continue.,spam
Attention: Your mobile number has won a promotional jackpot. Call immediately to claim your prize. Visit the official page to continue.,spam
Attention: Increase your credit limit instantly. Click the link and verify your identity now. Visit the official page to continue.,spam
Attention: You have been selected for a secret bonus. This opportunity is available for the next 24 hours. Visit the official page to continue.,spam
Attention: Get cheap premium software licenses today. Pay online and download instantly. Visit the official page to continue.,spam
Notice: Congratulations! You have won a cash prize of $5000. Claim now by clicking the link. Contact support if you need assistance.,spam
Notice: URGENT: Your account has been selected for a reward. Verify your details today to receive it. Contact support if you need assistance.,spam
Notice: You are a lucky winner! Send your information to claim your free gift card immediately. Contact support if you need assistance.,spam
Notice: Limited time offer: get 80% discount on premium products. Buy now before the offer expires. Contact support if you need assistance.,spam
Notice: Your loan has been pre-approved. Complete the application now to receive instant funds. Contact support if you need assistance.,spam
Notice: Exclusive investment opportunity with guaranteed high returns. Contact our agent today. Contact support if you need assistance.,spam
Notice: FINAL NOTICE: Your reward is waiting. Confirm your account information to avoid losing the prize. Contact support if you need assistance.,spam
Notice: Claim your FREE smartphone today. Pay only a small processing fee to receive it. Contact support if you need assistance.,spam
Notice: You have been chosen for a special bonus. Click here and enter your details to activate it. Contact support if you need assistance.,spam
Notice: Win a brand-new car in our promotion. Register now and secure your entry. Contact support if you need assistance.,spam
Notice: Your subscription payment failed. Verify your card immediately using the secure link below. Contact support if you need assistance.,spam
Notice: Act now to unlock a huge discount on your insurance plan. Offer ends tonight. Contact support if you need assistance.,spam
"Notice: Dear customer, you have an unclaimed refund. Submit your bank details to receive the money. Contact support if you need assistance.",spam
Notice: Earn money from home with our proven program. No experience required. Join today. Contact support if you need assistance.,spam
Notice: Security alert: unusual activity detected. Confirm your password now to keep your account active. Contact support if you need assistance.,spam
Notice: Special promotion just for you: get a free voucher when you complete this short survey. Contact support if you need assistance.,spam
Notice: Your mobile number has won a promotional jackpot. Call immediately to claim your prize. Contact support if you need assistance.,spam
Notice: Increase your credit limit instantly. Click the link and verify your identity now. Contact support if you need assistance.,spam
Notice: You have been selected for a secret bonus. This opportunity is available for the next 24 hours. Contact support if you need assistance.,spam
Notice: Get cheap premium software licenses today. Pay online and download instantly. Contact support if you need assistance.,spam
"Hi team, the project meeting is scheduled for 10 AM tomorrow. Please review the agenda before joining.",ham
"Hello, attached is the monthly sales report for your review. Let me know if you have questions.",ham
Reminder: your doctor appointment is confirmed for Tuesday at 3 PM. Please arrive ten minutes early.,ham
"Hi Rahul, can we move our call to Friday afternoon? I have another meeting in the morning.",ham
Your order has been shipped and is expected to arrive on Thursday. You can track it from your account.,ham
Thank you for your application. We would like to schedule an interview next week.,ham
Please find the minutes from today's meeting attached. Action items are listed at the end.,ham
The library will be closed on Sunday for maintenance and will reopen on Monday morning.,ham
"Hi, I have shared the presentation slides in the team folder. Please add your comments by evening.",ham
Your electricity bill for this month is available in your customer portal. The due date is Friday.,ham
Could you please send me the updated invoice when you get a chance? Thanks.,ham
The training session has been moved to Room 204. The start time remains unchanged.,ham
Thanks for confirming. I will join the client call at 2 PM and prepare the requested documents.,ham
Your package was delivered to the reception desk this afternoon.,ham
Please remember to submit the assignment before the deadline on Monday.,ham
"Hi everyone, the office will have a fire drill at 4 PM today. Please follow the safety instructions.",ham
I have attached the revised proposal based on yesterday's feedback.,ham
"Your password was changed successfully. If you made this change, no further action is required.",ham
Let's meet after lunch to discuss the new project requirements and timeline.,ham
Thank you for attending the workshop. The recording and resources are now available.,ham
"Hello, Hi team, the project meeting is scheduled for 10 AM tomorrow. Please review the agenda before joining. Thanks for your time.",ham
"Hello, Hello, attached is the monthly sales report for your review. Let me know if you have questions. Thanks for your time.",ham
"Hello, Reminder: your doctor appointment is confirmed for Tuesday at 3 PM. Please arrive ten minutes early. Thanks for your time.",ham
"Hello, Hi Rahul, can we move our call to Friday afternoon? I have another meeting in the morning. Thanks for your time.",ham
"Hello, Your order has been shipped and is expected to arrive on Thursday. You can track it from your account. Thanks for your time.",ham
"Hello, Thank you for your application. We would like to schedule an interview next week. Thanks for your time.",ham
"Hello, Please find the minutes from today's meeting attached. Action items are listed at the end. Thanks for your time.",ham
"Hello, The library will be closed on Sunday for maintenance and will reopen on Monday morning. Thanks for your time.",ham
"Hello, Hi, I have shared the presentation slides in the team folder. Please add your comments by evening. Thanks for your time.",ham
"Hello, Your electricity bill for this month is available in your customer portal. The due date is Friday. Thanks for your time.",ham
"Hello, Could you please send me the updated invoice when you get a chance? Thanks. Thanks for your time.",ham
"Hello, The training session has been moved to Room 204. The start time remains unchanged. Thanks for your time.",ham
"Hello, Thanks for confirming. I will join the client call at 2 PM and prepare the requested documents. Thanks for your time.",ham
"Hello, Your package was delivered to the reception desk this afternoon. Thanks for your time.",ham
"Hello, Please remember to submit the assignment before the deadline on Monday. Thanks for your time.",ham
"Hello, Hi everyone, the office will have a fire drill at 4 PM today. Please follow the safety instructions. Thanks for your time.",ham
"Hello, I have attached the revised proposal based on yesterday's feedback. Thanks for your time.",ham
"Hello, Your password was changed successfully. If you made this change, no further action is required. Thanks for your time.",ham
"Hello, Let's meet after lunch to discuss the new project requirements and timeline. Thanks for your time.",ham
"Hello, Thank you for attending the workshop. The recording and resources are now available. Thanks for your time.",ham
"Hi, Hi team, the project meeting is scheduled for 10 AM tomorrow. Please review the agenda before joining. Please let me know if anything changes.",ham
"Hi, Hello, attached is the monthly sales report for your review. Let me know if you have questions. Please let me know if anything changes.",ham
"Hi, Reminder: your doctor appointment is confirmed for Tuesday at 3 PM. Please arrive ten minutes early. Please let me know if anything changes.",ham
"Hi, Hi Rahul, can we move our call to Friday afternoon? I have another meeting in the morning. Please let me know if anything changes.",ham
"Hi, Your order has been shipped and is expected to arrive on Thursday. You can track it from your account. Please let me know if anything changes.",ham
"Hi, Thank you for your application. We would like to schedule an interview next week. Please let me know if anything changes.",ham
"Hi, Please find the minutes from today's meeting attached. Action items are listed at the end. Please let me know if anything changes.",ham
"Hi, The library will be closed on Sunday for maintenance and will reopen on Monday morning. Please let me know if anything changes.",ham
"Hi, Hi, I have shared the presentation slides in the team folder. Please add your comments by evening. Please let me know if anything changes.",ham
"Hi, Your electricity bill for this month is available in your customer portal. The due date is Friday. Please let me know if anything changes.",ham
"Hi, Could you please send me the updated invoice when you get a chance? Thanks. Please let me know if anything changes.",ham
"Hi, The training session has been moved to Room 204. The start time remains unchanged. Please let me know if anything changes.",ham
"Hi, Thanks for confirming. I will join the client call at 2 PM and prepare the requested documents. Please let me know if anything changes.",ham
"Hi, Your package was delivered to the reception desk this afternoon. Please let me know if anything changes.",ham
"Hi, Please remember to submit the assignment before the deadline on Monday. Please let me know if anything changes.",ham
"Hi, Hi everyone, the office will have a fire drill at 4 PM today. Please follow the safety instructions. Please let me know if anything changes.",ham
"Hi, I have attached the revised proposal based on yesterday's feedback. Please let me know if anything changes.",ham
"Hi, Your password was changed successfully. If you made this change, no further action is required. Please let me know if anything changes.",ham
"Hi, Let's meet after lunch to discuss the new project requirements and timeline. Please let me know if anything changes.",ham
"Hi, Thank you for attending the workshop. The recording and resources are now available. Please let me know if anything changes.",ham
"Good morning, Hi team, the project meeting is scheduled for 10 AM tomorrow. Please review the agenda before joining. I appreciate your help.",ham
"Good morning, Hello, attached is the monthly sales report for your review. Let me know if you have questions. I appreciate your help.",ham
"Good morning, Reminder: your doctor appointment is confirmed for Tuesday at 3 PM. Please arrive ten minutes early. I appreciate your help.",ham
"Good morning, Hi Rahul, can we move our call to Friday afternoon? I have another meeting in the morning. I appreciate your help.",ham
"Good morning, Your order has been shipped and is expected to arrive on Thursday. You can track it from your account. I appreciate your help.",ham
"Good morning, Thank you for your application. We would like to schedule an interview next week. I appreciate your help.",ham
"Good morning, Please find the minutes from today's meeting attached. Action items are listed at the end. I appreciate your help.",ham
"Good morning, The library will be closed on Sunday for maintenance and will reopen on Monday morning. I appreciate your help.",ham
"Good morning, Hi, I have shared the presentation slides in the team folder. Please add your comments by evening. I appreciate your help.",ham
"Good morning, Your electricity bill for this month is available in your customer portal. The due date is Friday. I appreciate your help.",ham
"Good morning, Could you please send me the updated invoice when you get a chance? Thanks. I appreciate your help.",ham
"Good morning, The training session has been moved to Room 204. The start time remains unchanged. I appreciate your help.",ham
"Good morning, Thanks for confirming. I will join the client call at 2 PM and prepare the requested documents. I appreciate your help.",ham
"Good morning, Your package was delivered to the reception desk this afternoon. I appreciate your help.",ham
"Good morning, Please remember to submit the assignment before the deadline on Monday. I appreciate your help.",ham
"Good morning, Hi everyone, the office will have a fire drill at 4 PM today. Please follow the safety instructions. I appreciate your help.",ham
"Good morning, I have attached the revised proposal based on yesterday's feedback. I appreciate your help.",ham
"Good morning, Your password was changed successfully. If you made this change, no further action is required. I appreciate your help.",ham
"Good morning, Let's meet after lunch to discuss the new project requirements and timeline. I appreciate your help.",ham
"Good morning, Thank you for attending the workshop. The recording and resources are now available. I appreciate your help.",ham
"Dear colleague, Hi team, the project meeting is scheduled for 10 AM tomorrow. Please review the agenda before joining. Have a good day.",ham
"Dear colleague, Hello, attached is the monthly sales report for your review. Let me know if you have questions. Have a good day.",ham
"Dear colleague, Reminder: your doctor appointment is confirmed for Tuesday at 3 PM. Please arrive ten minutes early. Have a good day.",ham
"Dear colleague, Hi Rahul, can we move our call to Friday afternoon? I have another meeting in the morning. Have a good day.",ham
"Dear colleague, Your order has been shipped and is expected to arrive on Thursday. You can track it from your account. Have a good day.",ham
"Dear colleague, Thank you for your application. We would like to schedule an interview next week. Have a good day.",ham
"Dear colleague, Please find the minutes from today's meeting attached. Action items are listed at the end. Have a good day.",ham
"Dear colleague, The library will be closed on Sunday for maintenance and will reopen on Monday morning. Have a good day.",ham
"Dear colleague, Hi, I have shared the presentation slides in the team folder. Please add your comments by evening. Have a good day.",ham
"Dear colleague, Your electricity bill for this month is available in your customer portal. The due date is Friday. Have a good day.",ham
"Dear colleague, Could you please send me the updated invoice when you get a chance? Thanks. Have a good day.",ham
"Dear colleague, The training session has been moved to Room 204. The start time remains unchanged. Have a good day.",ham
"Dear colleague, Thanks for confirming. I will join the client call at 2 PM and prepare the requested documents. Have a good day.",ham
"Dear colleague, Your package was delivered to the reception desk this afternoon. Have a good day.",ham
"Dear colleague, Please remember to submit the assignment before the deadline on Monday. Have a good day.",ham
"Dear colleague, Hi everyone, the office will have a fire drill at 4 PM today. Please follow the safety instructions. Have a good day.",ham
"Dear colleague, I have attached the revised proposal based on yesterday's feedback. Have a good day.",ham
"Dear colleague, Your password was changed successfully. If you made this change, no further action is required. Have a good day.",ham
"Dear colleague, Let's meet after lunch to discuss the new project requirements and timeline. Have a good day.",ham
"Dear colleague, Thank you for attending the workshop. The recording and resources are now available. Have a good day.",ham
"Team, Hi team, the project meeting is scheduled for 10 AM tomorrow. Please review the agenda before joining. Regards.",ham
"Team, Hello, attached is the monthly sales report for your review. Let me know if you have questions. Regards.",ham
"Team, Reminder: your doctor appointment is confirmed for Tuesday at 3 PM. Please arrive ten minutes early. Regards.",ham
